Species,SVSPP,YEAR,MeanCond,StdDevCond,nCond,n
Bluefish,135,2016,95.09999665157748,4.6314448537158786,53,27
Bluefish,135,2018,96.85296152095319,5.9685207424043885,59,27
Bluefish,135,2019,96.47262729741765,5.477424292597301,73,27
Butterfish,131,1992,106.50183060308036,16.931706079512587,457,27
Butterfish,131,1993,107.8774703711282,14.48421963871459,530,27
Butterfish,131,1994,104.05720815782185,15.861805160064359,605,27
Butterfish,131,1995,107.69415061679268,16.74735201743678,539,27
Butterfish,131,1996,108.81900150541573,13.445938015398287,415,27
Butterfish,131,1997,105.3782177020934,14.524721914685253,380,27
Butterfish,131,1998,106.49987917525964,19.96303929134541,590,27
Butterfish,131,1999,108.93678070116361,15.696462112219601,421,27
Butterfish,131,2000,111.85948152691272,16.191652308514517,309,27
Butterfish,131,2001,95.79397019310169,13.165118143775183,336,27
Butterfish,131,2002,100.60213455745202,19.157493423211175,367,27
Butterfish,131,2003,106.09446381342333,15.948586081117105,427,27
Butterfish,131,2004,98.89722345645701,11.715277442578177,21,27
Butterfish,131,2005,98.3039349183009,11.40239093934145,17,27
Butterfish,131,2006,100.52241598180967,17.224707192483677,565,27
Butterfish,131,2007,102.76838463644292,13.544475899816248,310,27
Butterfish,131,2008,99.69024629919133,26.070785841744232,667,27
Butterfish,131,2009,101.37782011727967,16.193160964867328,625,27
Butterfish,131,2010,105.59868253435491,15.052233600359532,645,27
Butterfish,131,2011,105.7461881378241,14.117553059880409,984,27
Butterfish,131,2012,106.45688959781184,14.020305397857413,500,27
Butterfish,131,2013,108.29113070718444,13.955152990066633,504,27
Butterfish,131,2014,104.80117068375182,13.873802281837156,577,27
Butterfish,131,2015,107.14039254586261,15.393573344252474,480,27
Butterfish,131,2016,110.70725064146433,15.590170809222384,458,27
Butterfish,131,2018,109.03697295937992,15.30350550512452,379,27
Butterfish,131,2019,108.42095255348967,14.662352174841475,367,27
Fourspot,104,1992,100.85611341694263,9.571622384387565,337,27
Fourspot,104,1993,98.78345002544296,10.005023026455333,378,27
Fourspot,104,1994,102.23371580550206,9.48975111919929,340,27
Fourspot,104,1995,97.58151689589258,9.899277681888055,324,27
Fourspot,104,1996,95.26516345047973,9.4356962386702,397,27
Fourspot,104,1997,101.81260301047531,10.04870437473635,322,27
Fourspot,104,1998,102.08195953008592,9.219141078961947,432,27
Fourspot,104,1999,100.97462508173697,9.286451634121295,483,27
Fourspot,104,2000,100.73447273517566,10.053336914885232,263,27
Fourspot,104,2001,97.2575685320629,10.154757286179322,170,27
Fourspot,104,2002,98.34112770193902,10.079375608955715,206,27
Fourspot,104,2003,98.90256712047177,10.381431639466774,212,27
Fourspot,104,2004,96.94896477909845,10.282218035270803,126,27
Fourspot,104,2005,99.27045315369222,10.678761308240558,231,27
Fourspot,104,2006,99.26228323058383,9.422253803620025,218,27
Fourspot,104,2007,97.03286598834413,10.42541554696096,212,27
Fourspot,104,2008,98.9149822838086,11.610904242397494,195,27
Fourspot,104,2009,98.64970912399833,10.98269566560687,256,27
Fourspot,104,2010,101.6583073668939,11.563694011102518,165,27
Fourspot,104,2011,101.11986351331565,10.319685012651316,249,27
Fourspot,104,2012,98.67138218287265,10.374878371505137,286,27
Fourspot,104,2013,103.61691314006671,10.600138058122717,283,27
Fourspot,104,2014,100.48666022142301,10.533205747678029,285,27
Fourspot,104,2015,101.78343306689709,10.4101630510584,279,27
Fourspot,104,2016,102.73140283707944,10.976469314252109,263,27
Fourspot,104,2018,101.0325219885712,11.465866526277685,243,27
Fourspot,104,2019,103.37851892789833,9.718124586267123,222,27
Goosefish,197,1992,98.54425273194775,10.13025976601521,67,28
Goosefish,197,1993,97.55593110535297,10.804727798330804,79,28
Goosefish,197,1994,101.0595340948405,9.493459895671032,63,28
Goosefish,197,1995,99.57739252114312,10.552708319665943,87,28
Goosefish,197,1996,99.21471839018399,11.154589612178418,66,28
Goosefish,197,1997,98.80332208453446,9.176102451027166,55,28
Goosefish,197,1998,101.01142215443191,10.40075865104058,66,28
Goosefish,197,1999,100.08445472832868,9.3758141105865,90,28
Goosefish,197,2000,98.81783799504674,10.381510459211219,104,28
Goosefish,197,2001,97.78192936230602,9.057391632434454,117,28
Goosefish,197,2002,100.50091672855544,9.771897720290669,141,28
Goosefish,197,2003,100.49755835879327,10.244974051157051,98,28
Goosefish,197,2004,100.49451487238457,11.642772110374594,67,28
Goosefish,197,2005,99.8334807628844,10.44735336204526,83,28
Goosefish,197,2006,99.49115146016624,10.221159593390228,75,28
Goosefish,197,2007,100.98265730869917,10.64210437948083,62,28
Goosefish,197,2008,99.5735147426515,10.735132162203044,53,28
Goosefish,197,2009,98.45508869924446,9.578327708198808,364,28
Goosefish,197,2010,98.83028380955838,10.036774509258978,385,28
Goosefish,197,2011,98.65514332441441,9.457055743898676,405,28
Goosefish,197,2012,98.40653745589454,9.30813871495787,439,28
Goosefish,197,2013,98.76579963351658,9.684187938489515,317,28
Goosefish,197,2014,98.81030609642866,9.730922439053096,428,28
Goosefish,197,2015,97.15517103600101,9.89163076948512,641,28
Goosefish,197,2016,97.34023080372043,9.820658695388481,733,28
Goosefish,197,2017,96.81808168790326,9.347332425993272,297,28
Goosefish,197,2018,97.07288935306991,9.259820519048738,518,28
Goosefish,197,2019,96.73805809022626,9.34909286991061,525,28
Haddock,74,1992,102.30470669842747,5.286399633170138,171,29
Haddock,74,1993,103.14287398029873,5.414930999077488,171,29
Haddock,74,1994,101.45696574769129,5.994263209093203,214,29
Haddock,74,1995,99.78109641644663,6.367884462580391,325,29
Haddock,74,1996,101.69758420429127,5.890699336142579,399,29
Haddock,74,1997,102.30150946443705,5.866071622283291,419,29
Haddock,74,1998,101.51288290463961,6.211967420482467,447,29
Haddock,74,1999,103.194499941671,5.7645393423898605,393,29
Haddock,74,2000,101.44683402677767,6.111280922161677,412,29
Haddock,74,2001,99.73030483288248,5.931165732962613,523,29
Haddock,74,2002,99.61761664097926,5.9527821906977545,480,29
Haddock,74,2003,100.24542161188369,6.085615865944457,410,29
Haddock,74,2004,98.59076179983887,5.770460220188574,612,29
Haddock,74,2005,98.56162310555308,5.9739330583690515,715,29
Haddock,74,2006,99.42291896108264,5.9896617855886545,713,29
Haddock,74,2007,100.35407636521853,5.928841230624028,574,29
Haddock,74,2008,102.03109924189474,5.582529078674404,596,29
Haddock,74,2009,100.88811881307274,5.839296346201745,520,29
Haddock,74,2010,99.11887904528815,6.271516733163487,685,29
Haddock,74,2011,100.32763748446988,5.855076077497871,819,29
Haddock,74,2012,100.98242482277867,5.715356831526177,600,29
Haddock,74,2013,101.93122471128686,5.8187533732745615,816,29
Haddock,74,2014,101.50352751497118,5.904562584978689,1137,29
Haddock,74,2015,102.10870648247528,5.797554636450951,1384,29
Haddock,74,2016,101.0994169832218,6.210464788525281,1212,29
Haddock,74,2017,101.33481451773756,6.088409566270062,580,29
Haddock,74,2018,101.81970937199728,5.966756418166133,651,29
Haddock,74,2019,101.38315641966145,6.070666580216704,602,29
Haddock,74,NA,101.78855710576642,6.073115562349592,15,29
Little skate,26,1992,100.34306050440759,10.47329489237543,385,28
Little skate,26,1993,101.96192230730448,10.339530010163088,334,28
Little skate,26,1994,103.16657609306257,9.990034465356894,347,28
Little skate,26,1995,100.59088924814309,10.611065936885629,434,28
Little skate,26,1996,101.07045692232484,11.320509380940091,370,28
Little skate,26,1997,101.6252268445545,10.390977613502228,278,28
Little skate,26,1998,100.51749656439067,10.457545542234582,458,28
Little skate,26,1999,102.55694654880577,10.60919890911816,276,28
Little skate,26,2000,99.68380271544261,10.119786333907605,354,28
Little skate,26,2001,97.18977582502973,10.060039968075497,357,28
Little skate,26,2002,97.61643983558939,10.977977104414766,269,28
Little skate,26,2003,100.83884959849283,11.228430637862784,326,28
Little skate,26,2004,97.91496011876332,10.266542843958572,139,28
Little skate,26,2005,99.57049281037204,10.432148149295418,217,28
Little skate,26,2006,100.65484076402326,11.680425377868364,242,28
Little skate,26,2007,99.1651534060943,11.565459947054668,194,28
Little skate,26,2008,100.44435192203878,12.310802271734353,172,28
Little skate,26,2009,99.32332330334484,10.518189638390856,378,28
Little skate,26,2010,98.55178732872731,11.503144361164896,364,28
Little skate,26,2011,98.81772045372163,11.286531510886073,439,28
Little skate,26,2012,98.97756638936943,10.074555242800894,254,28
Little skate,26,2013,100.80617506504356,10.936273792385672,263,28
Little skate,26,2014,101.55830005766269,10.424025631875546,247,28
Little skate,26,2015,102.19664973535109,10.619505054889592,232,28
Little skate,26,2016,101.82179896272979,10.069046146146821,244,28
Little skate,26,2017,100.07746171433772,10.252677786192125,91,28
Little skate,26,2018,100.72412997614202,11.056700169327556,223,28
Little skate,26,2019,101.48194787609808,11.04041614226255,222,28
Ocean pout,193,1992,102.11257562107207,7.325287522097974,77,27
Ocean pout,193,1993,99.80342218967343,7.809174459738517,88,27
Ocean pout,193,1994,98.80195110769003,6.799411310688779,54,27
Ocean pout,193,1995,97.55936103691502,7.698931193638072,69,27
Ocean pout,193,1996,100.08533367258875,6.807720375760575,52,27
Ocean pout,193,1997,98.66591057725232,7.086811893493843,56,27
Ocean pout,193,1998,97.72842065617228,7.1390609303277826,84,27
Ocean pout,193,1999,99.63675997936403,6.6307519996231274,38,27
Ocean pout,193,2000,98.19940209306988,7.130480461822398,54,27
Ocean pout,193,2001,98.05710409418764,6.3236253833844644,42,27
Ocean pout,193,2002,98.50576255891107,6.512673070576257,22,27
Ocean pout,193,2003,101.50969977011164,6.814650825407281,30,27
Ocean pout,193,2004,99.36754652755988,6.563413014140429,21,27
Ocean pout,193,2005,99.08363098043658,7.495525419064608,43,27
Ocean pout,193,2006,99.67710080839977,8.15064000753603,36,27
Ocean pout,193,2007,99.97662991241934,5.493187806305119,37,27
