Species,EPU,sex,YEAR,MeanCond,nCond,n
Atl Cod,SS,M,2007,99.91416557981921,6,27
Atl Cod,SS,M,2008,99.74400664356686,20,27
Atl Cod,SS,M,2009,96.85017805244198,11,27
Atl Cod,SS,M,2010,97.91599421769054,22,27
Atl Cod,SS,M,2011,97.1272778002923,28,27
Atl Cod,SS,M,2012,98.1373375906539,20,27
Atl Cod,SS,M,2013,100.79565722269778,20,27
Atl Cod,SS,M,2014,93.46181889482003,7,27
Atl Cod,SS,M,2015,99.41268527299134,32,27
Atl Cod,SS,M,2016,99.4333295431531,29,27
Atl Cod,SS,M,2017,96.24887292156143,13,27
Atl Cod,SS,M,2018,100.01919019569685,25,27
Atl Herring,GB,F,1992,83.56105065903766,31,27
Atl Herring,GB,F,1993,115.0781651077948,29,27
Atl Herring,GB,F,1994,143.6751766534074,39,27
Atl Herring,GB,F,1995,117.47845078557413,45,27
Atl Herring,GB,F,1996,108.53175600862926,103,27
Atl Herring,GB,F,1997,110.65572799957957,50,27
Atl Herring,GB,F,1998,106.22350589344174,73,27
Atl Herring,GB,F,1999,114.7428516993261,33,27
Atl Herring,GB,F,2000,120.77689601057024,53,27
Atl Herring,GB,F,2001,111.68970515604818,35,27
Atl Herring,GB,F,2002,116.57426764668925,78,27
Atl Herring,GB,F,2003,120.40143812668234,63,27
Atl Herring,GB,F,2004,110.33249717595626,78,27
Atl Herring,GB,F,2005,119.8040089251021,77,27
Atl Herring,GB,F,2006,115.0732538544968,51,27
Atl Herring,GB,F,2007,117.30902861356206,64,27
Atl Herring,GB,F,2008,120.41747977541019,79,27
Atl Herring,GB,F,2009,111.09367097747304,94,27
Atl Herring,GB,F,2010,105.64409996015658,122,27
Atl Herring,GB,F,2011,104.40669963560832,43,27
Atl Herring,GB,F,2012,109.58054328387898,82,27
Atl Herring,GB,F,2013,109.2541429507259,18,27
Atl Herring,GB,F,2014,109.64472511094692,27,27
Atl Herring,GB,F,2015,115.35432371873942,36,27
Atl Herring,GB,F,2016,111.30139113259806,39,27
Atl Herring,GB,F,2017,102.72694835894998,11,27
Atl Herring,GB,F,2018,106.88748664928391,8,27
Atl Herring,GB,M,1992,82.44745300385993,27,27
Atl Herring,GB,M,1993,106.6138797199158,33,27
Atl Herring,GB,M,1994,147.29798088547315,28,27
Atl Herring,GB,M,1995,110.32477984809721,37,27
Atl Herring,GB,M,1996,106.57138505262331,87,27
Atl Herring,GB,M,1997,105.96472688166936,59,27
Atl Herring,GB,M,1998,103.9901860842182,75,27
Atl Herring,GB,M,1999,117.1436243607444,27,27
Atl Herring,GB,M,2000,118.8047267294659,34,27
Atl Herring,GB,M,2001,110.0831902097899,32,27
Atl Herring,GB,M,2002,114.79378397023233,77,27
Atl Herring,GB,M,2003,113.1302035761382,64,27
Atl Herring,GB,M,2004,105.39586939525044,101,27
Atl Herring,GB,M,2005,119.62938579140385,69,27
Atl Herring,GB,M,2006,111.59021638627326,38,27
Atl Herring,GB,M,2007,117.25845831233441,44,27
Atl Herring,GB,M,2008,119.82168637978319,53,27
Atl Herring,GB,M,2009,105.4826356115017,115,27
Atl Herring,GB,M,2010,102.67646023601144,115,27
Atl Herring,GB,M,2011,103.13264140981961,26,27
Atl Herring,GB,M,2012,111.03643719706429,77,27
Atl Herring,GB,M,2013,107.44626487612406,19,27
Atl Herring,GB,M,2014,105.58762278504378,14,27
Atl Herring,GB,M,2015,106.09314550334418,18,27
Atl Herring,GB,M,2016,111.51615509365367,37,27
Atl Herring,GB,M,2017,101.09885485230852,11,27
Atl Herring,GB,M,2018,119.51510200272956,8,27
Atl Herring,GOM,F,1992,93.64545345498236,170,27
Atl Herring,GOM,F,1993,108.97829436772354,161,27
Atl Herring,GOM,F,1994,104.26276223405489,121,27
Atl Herring,GOM,F,1995,108.31826519033355,175,27
Atl Herring,GOM,F,1996,100.66161880896111,111,27
Atl Herring,GOM,F,1997,99.7466846758992,146,27
Atl Herring,GOM,F,1998,103.04704470613191,240,27
Atl Herring,GOM,F,1999,107.02658864577738,196,27
Atl Herring,GOM,F,2000,111.9779753636721,207,27
Atl Herring,GOM,F,2001,113.69143251510971,526,27
Atl Herring,GOM,F,2002,108.2600915575469,425,27
Atl Herring,GOM,F,2003,106.88465641988515,256,27
Atl Herring,GOM,F,2004,102.42533155088006,319,27
Atl Herring,GOM,F,2005,102.86967835627796,499,27
Atl Herring,GOM,F,2006,108.8469249214976,406,27
Atl Herring,GOM,F,2007,109.0802322953258,495,27
Atl Herring,GOM,F,2008,108.61446966333287,482,27
Atl Herring,GOM,F,2009,107.03292141191868,327,27
Atl Herring,GOM,F,2010,100.23542656347482,568,27
Atl Herring,GOM,F,2011,103.82503879857896,579,27
Atl Herring,GOM,F,2012,104.52101588383776,613,27
Atl Herring,GOM,F,2013,98.8639487234248,273,27
Atl Herring,GOM,F,2014,99.97616153735018,339,27
Atl Herring,GOM,F,2015,99.60314015953853,390,27
Atl Herring,GOM,F,2016,100.73787502817112,218,27
Atl Herring,GOM,F,2017,95.8190834740825,147,27
Atl Herring,GOM,F,2018,99.03660528302045,122,27
